car_name,fuel_type,seating_capacity,transmission_type,body_type,rating,starting_price,ending_price
Maruti Alto K10,Petrol,5,Automatic,Hatchback,4.5,399000,583000
Maruti Brezza,Petrol,5,Automatic,SUV,4.5,799000,1396000
Mahindra Thar,Diesel,4,Automatic,SUV,4.5,1353000,1603000
Mahindra XUV700,Diesel,7,Automatic,SUV,4.5,1318000,2458000
Mahindra Scorpio-N,Diesel,7,Automatic,SUV,4.5,1199000,2390000
Toyota Fortuner,Diesel,7,Automatic,SUV,4.5,3240000,4957000
Hyundai Creta,Diesel,5,Automatic,SUV,4.5,1044000,1818000
Tata Punch,Petrol,5,Automatic,SUV,4.5,593000,949000
Mahindra Bolero,Diesel,7,Manual,SUV,4.5,933000,1026000
Maruti Swift,Petrol,5,Automatic,Hatchback,4,592000,885000
Tata Nexon,Diesel,5,Automatic,SUV,4.5,760000,1408000
Hyundai Venue,Petrol,5,Automatic,SUV,4.5,753000,1272000
Kia Seltos,Diesel,5,Automatic,SUV,4.5,1049000,1865000
Hyundai Tucson,Diesel,5,Automatic,SUV,4.5,2770000,3454000
Tata Harrier,Diesel,5,Automatic,SUV,4.5,1470000,2220000
Maruti Baleno,Petrol,5,Automatic,Hatchback,4.5,649000,971000
Toyota Innova Crysta,Diesel,8,Automatic,MUV,4.5,1786000,2654000
Maruti Ertiga,Petrol,7,Automatic,MUV,4.5,835000,1279000
Kia Sonet,Diesel,5,Automatic,SUV,4,749000,1379000
Maruti Dzire,Petrol,5,Automatic,Sedan,4.5,624000,918000
Honda City 4th Generation,Petrol,5,Manual,Sedan,4.5,950000,1000000
Land Rover Range Rover,Petrol,7,Automatic,SUV,4.5,23900000,41700000
Tata Tiago,CNG,5,Manual,Hatchback,4.5,540000,782000
Hyundai i20,Petrol,5,Automatic,Hatchback,3.5,703000,1154000
Mahindra XUV300,Diesel,5,Automatic,SUV,4.5,841000,1407000
MG Hector,Diesel,5,Manual,SUV,4,1415000,2011000
Tata Altroz,Diesel,5,Manual,Hatchback,4.5,630000,1025000
Mahindra Scorpio Classic,Diesel,7,Manual,SUV,4.5,1199000,1549000
Hyundai Verna,Diesel,5,Automatic,Sedan,4.5,941000,1545000
Citroen C3,Petrol,5,Manual,Hatchback,4.5,571000,806000
Honda City,Diesel,5,Manual,Sedan,4.5,1157000,1552000
Maruti Celerio,Petrol,5,Automatic,Hatchback,3.5,525000,700000
Nissan Magnite,Petrol,5,Automatic,SUV,4.5,597000,1079000
Renault KWID,Petrol,5,Automatic,Hatchback,4.5,464000,599000
Land Rover Defender,Petrol,7,Automatic,SUV,4.5,8072000,21900000
Maruti Alto 800,CNG,5,Manual,Hatchback,4.5,339000,503000
Hyundai Kona Electric,Electric,5,Electric,SUV,4.5,2384000,2403000
Tata Tigor,CNG,5,Manual,Sedan,4.5,600000,859000
Renault Kiger,Petrol,5,Automatic,SUV,4.5,599000,1062000
Maruti S-Presso,Petrol,5,Automatic,Hatchback,4.5,425000,599000
MG Astor,Petrol,5,Automatic,SUV,4.5,1022000,1813000
Lamborghini Urus,Petrol,5,Automatic,SUV,4.5,31500000,34300000
Honda Amaze,Diesel,5,Automatic,Sedan,4.5,663000,1150000
Renault Triber,Petrol,7,Automatic,MUV,4.5,592000,851000
Hyundai Alcazar,Diesel,7,Automatic,SUV,4,1589000,2025000
Hyundai Aura,Petrol,5,Manual,Sedan,4.5,609000,887000
Volkswagen Virtus,Petrol,5,Automatic,Sedan,4.5,1122000,1792000
Skoda Slavia,Petrol,5,Automatic,Sedan,4.5,1099000,1839000
Maruti Ignis,Petrol,5,Automatic,Hatchback,4.5,535000,772000
Mercedes-Benz GLA,Diesel,5,Automatic,SUV,4.5,4490000,4890000
Volvo XC90,Petrol,7,Automatic,Hybrid,4.5,9390000,9665000
Skoda Kushaq,Petrol,5,Automatic,SUV,4.5,1129000,1949000
Maruti XL6,Petrol,6,Automatic,MUV,4.5,1129000,1455000
Jeep Wrangler,Petrol,5,Automatic,SUV,4.5,5635000,6035000
Maruti Eeco,Petrol,7,Manual,Minivan,4.5,463000,594000
Force Gurkha,Diesel,4,Manual,SUV,4.5,1449000,1449000
Maruti S-Cross,Petrol,5,Automatic,SUV,4.5,895000,1292000
Maruti Ciaz,Petrol,5,Automatic,Sedan,4.5,899000,1198000
Hyundai Santro,CNG,5,Manual,Hatchback,4.5,490000,642000
Volkswagen Taigun,Petrol,5,Automatic,SUV,4.5,1140000,1860000
BMW X7,Diesel,7,Automatic,SUV,4.5,11800000,17800000
Audi Q7,Petrol,7,Automatic,SUV,4.5,8249000,8808000
Toyota Vellfire,Petrol,7,Automatic,MUV,4.5,9260000,9260000
Toyota Hilux,Diesel,5,Automatic,Pickup Truck,4.5,3399000,3680000
MG Gloster,Diesel,7,Automatic,SUV,4.5,3150000,3950000
Lamborghini Aventador,Petrol,2,Automatic,Coupe,4.5,62500000,90000000
BMW X1,Diesel,5,Automatic,SUV,4.5,4150000,4450000
BMW X5,Petrol,5,Automatic,SUV,4.5,7990000,9590000
Toyota Camry,Petrol,5,Automatic,Sedan,4.5,4435000,4435000
Volkswagen Tiguan,Petrol,5,Automatic,SUV,4.5,3279000,3280000
Rolls-Royce Ghost,Petrol,5,Automatic,Sedan,4.5,69500000,79500000
Skoda Octavia,Petrol,5,Automatic,Sedan,4.5,2685000,2985000
Skoda Superb,Petrol,5,Automatic,Sedan,4.5,3349000,3659000
Audi A6,Petrol,5,Automatic,Sedan,4.5,5999000,6599000
Volvo XC40,Petrol,5,Automatic,SUV,4.5,4450000,4450000
Kia EV6,Electric,5,Electric,SUV,4.5,5995000,6495000
Volvo S90,Petrol,5,Automatic,Sedan,4.5,6590000,6590000
Honda Jazz,Petrol,5,Automatic,Hatchback,4.5,801000,1032000
Land Rover Range Rover Velar,Petrol,5,Automatic,SUV,4.5,8941000,8941000
Honda WR-V,Diesel,5,Manual,SUV,4.5,911000,1231000
Volvo XC60,Petrol,5,Automatic,SUV,4.5,6590000,6590000
Skoda Kodiaq,Petrol,7,Automatic,SUV,4.5,3749000,3999000
Audi A4,Petrol,5,Automatic,Sedan,4.5,4312000,4997000
BMW X3,Petrol,5,Automatic,SUV,4.5,6190000,6790000
BMW Z4,Petrol,2,Automatic,Convertible,4.5,7190000,8490000
BMW 3 Series Gran Limousine,Petrol,5,Automatic,Sedan,4.5,4690000,6890000
Nissan Kicks,Petrol,5,Automatic,SUV,4.5,950000,1490000
Mahindra Marazzo,Diesel,8,Manual,MUV,4.5,1317000,1544000
Mercedes-Benz C-Class,Diesel,5,Automatic,Sedan,4.5,5500000,6100000
BMW X6,Petrol,5,Automatic,Luxury,4.5,10400000,10400000
Mahindra Alturas G4,Diesel,7,Automatic,SUV,4.5,3188000,3188000
Bajaj Qute (RE60),CNG,4,Manual,Hatchback,4,361000,361000
Volkswagen Vento,Petrol,5,Automatic,Sedan,4.5,1000000,1444000
Audi Q5,Petrol,5,Manual,SUV,4.5,5990000,6555000
Ferrari Roma,Petrol,2,Automatic,Coupe,4.5,37600000,37600000
MG ZS EV,Electric,5,Electric,SUV,4.5,2200000,2588000
BMW 7 Series,Petrol,4,Automatic,Sedan,4.5,14200000,17600000
Mercedes-Benz E-Class,Diesel,5,Automatic,Sedan,4.5,6700000,8500000
BMW i4,Electric,5,Electric,Sedan,4.5,6990000,6990000
Land Rover Range Rover Sport,Diesel,5,Automatic,SUV,4.5,16400000,18400000
Jaguar F-TYPE,Petrol,2,Automatic,Coupe,4.5,9813000,15300000
Datsun redi-GO,Petrol,5,Automatic,Hatchback,3.5,398000,496000
BMW 2 Series,Diesel,5,Automatic,Sedan,4.5,4150000,4450000
Isuzu D-Max,Diesel,5,Automatic,SUV,4.5,1300000,2700000
BMW 5 Series,Diesel,5,Automatic,Sedan,4.5,6450000,7450000
Audi Q2,Petrol,5,Automatic,SUV,4.5,3499000,4889000
Mercedes-Benz GLS,Petrol,7,Automatic,SUV,4.5,11600000,24700000
Porsche Cayenne,Petrol,5,Automatic,SUV,4.5,12700000,19300000
